presupuesto,genero,estreno,recaudacion,duracion,titulo,puntuacion,votos,director,
170000000,Action Adventure Science Fiction,2014,714766572,136.0,Captain America: The Winter Soldier,7.6,5764,Anthony Russo,
165000000,Comedy Adventure Fantasy Animation Family,2010,752600867,93.0,Shrek Forever After,6.0,1959,Mike Mitchell,
190000000,Adventure Family Mystery Science Fiction,2015,209154322,130.0,Tomorrowland,6.2,2846,Brad Bird,
165000000,Adventure Family Animation Action Comedy,2014,652105443,102.0,Big Hero 6,7.8,6135,Chris Williams,
165000000,Family Animation Comedy Adventure,2012,471222889,108.0,Wreck-It Ralph,7.1,4570,Rich Moore,
165000000,Adventure Animation Family Fantasy,2004,305875730,100.0,The Polar Express,6.4,1474,Robert Zemeckis,
165000000,Action Adventure Science Fiction,2016,389681935,120.0,Independence Day: Resurgence,4.9,2491,Roland Emmerich,
165000000,Fantasy Adventure Animation Family,2010,494878759,98.0,How to Train Your Dragon,7.5,4227,Chris Sanders,
200000000,Action Thriller Science Fiction,2003,435000000,109.0,Terminator 3: Rise of the Machines,5.9,2143,Jonathan Mostow,
170000000,Action Science Fiction Adventure,2014,773328629,121.0,Guardians of the Galaxy,7.9,9742,James Gunn,
165000000,Adventure Drama Science Fiction,2014,675120017,169.0,Interstellar,8.1,10867,Christopher Nolan,
160000000,Action Thriller Science Fiction Mystery Adventure,2010,825532764,148.0,Inception,8.1,13752,Christopher Nolan,
15000000,Action Adventure Drama Horror Science Fiction,2016,77000000,120.0,Shin Godzilla,6.5,143,Hideaki Anno,
250000000,Adventure Fantasy Action,2012,1021103568,169.0,The Hobbit: An Unexpected Journey,7.0,8297,Peter Jackson,
38000000,Action Crime Thriller,2001,207283925,106.0,The Fast and the Furious,6.6,3428,Rob Cohen,
150000000,Fantasy Drama Thriller Mystery Romance,2008,333932083,166.0,The Curious Case of Benjamin Button,7.3,3292,David Fincher,
160000000,Action Science Fiction Adventure,2011,353624124,132.0,X-Men: First Class,7.1,5181,Matthew Vaughn,
160000000,Action Adventure Science Fiction,2015,653428261,137.0,The Hunger Games: Mockingjay - Part 2,6.6,3984,Francis Lawrence,
150000000,Fantasy Adventure Action Comedy Drama,2010,215283742,109.0,The Sorcerer's Apprentice,5.8,1470,Jon Turteltaub,
160000000,Adventure Action Drama Thriller,2006,181674817,99.0,Poseidon,5.5,583,Wolfgang Petersen,
170000000,Fantasy,2016,299370084,113.0,Alice Through the Looking Glass,6.5,1725,James Bobin,
160000000,Fantasy Adventure Animation Comedy Family,2007,798958165,93.0,Shrek the Third,6.0,2278,Chris Miller,
160000000,Action Adventure Fantasy,2016,433677183,123.0,Warcraft,6.3,2268,Duncan Jones,
155000000,Science Fiction Action Thriller Adventure,2015,440603537,126.0,Terminator Genisys,5.8,3631,Alan Taylor,
155000000,Adventure Family Fantasy,2010,415686217,113.0,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.2,1514,Michael Apted,
140000000,History Romance War,2001,449220945,183.0,Pearl Harbor,6.6,1791,Michael Bay,
150000000,Adventure Science Fiction Action,2007,709709780,144.0,Transformers,6.6,4040,Michael Bay,
155000000,War History Action Adventure Drama,2004,167298192,175.0,Alexander,5.6,927,Oliver Stone,
150000000,Adventure Fantasy Family Mystery,2007,938212738,138.0,Harry Potter and the Order of the Phoenix,7.4,5494,David Yates,
150000000,Adventure Fantasy Family,2005,895921036,157.0,Harry Potter and the Goblet of Fire,7.5,5608,Mike Newell,
150000000,Fantasy Action,2008,624029371,92.0,Hancock,6.2,2961,Peter Berg,
150000000,Drama Horror Action Thriller Science Fiction,2007,585349010,101.0,I Am Legend,6.9,4853,Francis Lawrence,
150000000,Adventure Comedy Family Fantasy,2005,474968763,115.0,Charlie and the Chocolate Factory,6.7,3624,Tim Burton,
150000000,Animation Comedy Family Fantasy,2007,623722818,111.0,Ratatouille,7.5,4369,Jan Pinkava,
150000000,Action Crime Drama,2005,374218673,140.0,Batman Begins,7.5,7359,Christopher Nolan,
150000000,Family Animation,2008,603900354,89.0,Madagascar: Escape 2 Africa,6.2,1810,Eric Darnell,
150000000,Adventure Fantasy Action Comedy Family,2009,413106170,105.0,Night at the Museum: Battle of the Smithsonian,5.9,1971,Shawn Levy,
150000000,Adventure Action Thriller Science Fiction,2009,373062864,107.0,X-Men Origins: Wolverine,6.2,4021,Gavin Hood,
150000000,Adventure Action Thriller Science Fiction,2003,424988211,129.0,The Matrix Revolutions,6.4,3096,Lilly Wachowski,
150000000,Animation Adventure Family,2013,1274219009,102.0,Frozen,7.3,5295,Chris Buck,
150000000,Adventure Action Thriller Science Fiction,2003,738599701,138.0,The Matrix Reloaded,6.7,3443,Lilly Wachowski,
170000000,Action Adventure Fantasy,2013,644571402,112.0,Thor: The Dark World,6.8,4755,Alan Taylor,
150000000,Action Adventure Science Fiction Thriller,2015,378858340,120.0,Mad Max: Fury Road,7.2,9427,George Miller,
150000000,Thriller Mystery,2009,356613439,138.0,Angels & Demons,6.5,2129,Ron Howard,
150000000,Adventure Fantasy Action,2011,449326618,115.0,Thor,6.6,6525,Kenneth Branagh,
150000000,Animation Family Adventure Comedy,2008,309979994,98.0,Bolt,6.3,1750,Chris Williams,
150000000,Fantasy Action Adventure Family Comedy,2009,292817841,88.0,G-Force,5.1,510,Hoyt Yeatman,
150000000,Adventure,2012,301000000,99.0,Wrath of the Titans,5.5,1431,Jonathan Liebesman,
150000000,Comedy Fantasy,2012,245527149,113.0,Dark Shadows,5.7,2320,Tim Burton,
150000000,Action Adventure Thriller,2015,682330139,131.0,Mission: Impossible - Rogue Nation,7.1,3224,Christopher McQuarrie,
150000000,Drama Horror Thriller,2010,0,102.0,The Wolfman,5.5,549,Joe Johnston,
150000000,Family Animation Adventure Comedy,2007,287594577,91.0,Bee Movie,5.7,1171,Steve Hickner,
150000000,Animation Family,2011,665692281,91.0,Kung Fu Panda 2,6.7,1880,Jennifer Yuh Nelson,
150000000,Action Adventure Family Fantasy,2010,318502923,103.0,The Last Airbender,4.7,1151,M. Night Shyamalan,
150000000,Adventure Action Thriller,2006,397850012,126.0,Mission: Impossible III,6.5,2028,J.J. Abrams,
150000000,Action Drama Thriller,2013,205366737,131.0,White House Down,6.4,1891,Roland Emmerich,
150000000,Adventure Animation Family,2011,38992758,88.0,Mars Needs Moms,5.5,199,Simon Wells,
149000000,Adventure Animation Comedy Family,2006,64459316,85.0,Flushed Away,6.0,874,David Bowers,
150000000,Adventure Family Fantasy,2015,128388320,111.0,Pan,5.9,954,Joe Wright,
145000000,Animation Adventure Family,2014,272912430,92.0,Mr. Peabody & Sherman,6.7,843,Rob Minkoff,
175000000,Adventure Drama War,2004,497409852,163.0,Troy,6.9,2759,Wolfgang Petersen,
145000000,Animation Family,2012,746921274,93.0,Madagascar 3: Europe's Most Wanted,6.4,1808,Conrad Vernon,
140000000,Adventure Action Thriller,2002,431971116,133.0,Die Another Day,5.8,1092,Lee Tamahori,
144000000,Action Fantasy Comedy,2016,229147509,116.0,Ghostbusters,5.3,2142,Paul Feig,
140000000,Action Thriller Science Fiction Adventure,1998,553799566,151.0,Armageddon,6.4,2482,Michael Bay,
140000000,Action Adventure Comedy Science Fiction,2002,441818803,88.0,Men in Black II,6.0,3114,Barry Sonnenfeld,
70000000,Adventure Action Animation,2007,195735876,115.0,Beowulf,5.5,841,Robert Zemeckis,
145000000,Action Adventure Animation Comedy Family,2016,521170825,95.0,Kung Fu Panda 3,6.7,1603,Jennifer Yuh Nelson,
145000000,Action Thriller Adventure,2011,694713380,133.0,Mission: Impossible - Ghost Protocol,6.8,3972,Brad Bird,
145000000,Fantasy Animation Family,2012,306941670,97.0,Rise of the Guardians,7.1,1922,Peter Ramsey,
100000000,Comedy,2005,202026112,90.0,Fun with Dick and Jane,5.9,627,Dean Parisot,
140000000,Drama Action War History,2003,456758981,154.0,The Last Samurai,7.3,1895,Edward Zwick,
140000000,Adventure Drama Action,2014,268031828,150.0,Exodus: Gods and Kings,5.6,1921,Ridley Scott,
150000000,Science Fiction Action Adventure,2009,385680446,127.0,Star Trek,7.4,4518,J.J. Abrams,
139000000,Fantasy Action,2002,821708551,121.0,Spider-Man,6.8,5265,Sam Raimi,
145000000,Fantasy Action Adventure Animation Comedy,2014,609123048,102.0,How to Train Your Dragon 2,7.6,3106,Dean DeBlois,
140000000,Fantasy,2016,150680864,127.0,Gods of Egypt,5.3,1277,Alex Proyas,
135000000,Action,2005,76932943,121.0,Stealth,4.9,331,Rob Cohen,
130000000,Action Mystery Science Fiction,2009,185258983,163.0,Watchmen,7.0,2811,Zack Snyder,
140000000,Action Adventure Comedy Crime Thriller,1998,285444603,127.0,Lethal Weapon 4,6.3,767,Richard Donner,
137000000,Drama Action Science Fiction,2003,245360480,138.0,Hulk,5.3,1533,Ang Lee,
130000000,Adventure Action Science Fiction Thriller,2013,371876278,110.0,G.I. Joe: Retaliation,5.4,3025,Jon M. Chu,
130000000,Action Adventure Comedy Drama Mystery,2005,119269486,124.0,Sahara,5.7,434,Breck Eisner,
137000000,Adventure Action Animation Fantasy Science Fiction,2001,85131830,106.0,Final Fantasy: The Spirits Within,5.9,433,Hironobu Sakaguchi,
140000000,Action Adventure Science Fiction,2011,370569774,124.0,Captain America: The First Avenger,6.6,7047,Joe Johnston,
135000000,Adventure Action Thriller,1999,361832400,128.0,The World Is Not Enough,6.0,862,Michael Apted,
150000000,Adventure,2003,212011111,138.0,Master and Commander: The Far Side of the World,6.9,790,Peter Weir,
120000000,Adventure Fantasy Drama Romance,2012,829000000,115.0,The Twilight Saga: Breaking Dawn - Part 2,6.1,2553,Bill Condon,
130000000,Animation Comedy Family,2011,150406466,100.0,Happy Feet Two,5.8,373,George Miller,
150000000,Science Fiction Action Adventure,2008,163712074,114.0,The Incredible Hulk,6.1,3021,Louis Leterrier,
140000000,Adventure Family Fantasy,2016,183345589,120.0,The BFG,6.0,1000,Steven Spielberg,
135000000,Western Drama Adventure Thriller,2015,532950503,156.0,The Revenant,7.3,6396,Alejandro Gonz\u00e1lez I\u00f1\u00e1rritu,
135000000,Animation Family,2013,282570682,96.0,Turbo,6.1,1074,David Soren,
135000000,Animation Comedy Family Western Adventure,2011,245724603,107.0,Rango,6.6,2051,Gore Verbinski,
132000000,Family Animation Adventure Comedy,2014,373552094,92.0,Penguins of Madagascar,6.5,1346,Eric Darnell,
70000000,Action Drama Mystery Thriller,2007,442824138,115.0,The Bourne Ultimatum,7.3,2888,Paul Greengrass,
130000000,Adventure Animation Family Comedy,2008,631744560,90.0,Kung Fu Panda,6.9,3145,Mark Osborne,
130000000,Science Fiction Action Adventure,2015,519311965,117.0,Ant-Man,7.0,5880,Peyton Reed,
130000000,Adventure Action Science Fiction,2013,847423452,146.0,The Hunger Games: Catching Fire,7.4,6495,Francis Lawrence,
135000000,Fantasy Comedy Animation Science Fiction Family,2015,368871007,94.0,Home,6.8,1519,Tim Johnson,
132000000,Adventure Thriller Science Fiction,2005,591739379,116.0,War of the Worlds,6.2,2322,Steven Spielberg,
130000000,Adventure Action Comedy Thriller Crime,2003,273339556,147.0,Bad Boys II,6.3,1564,Michael Bay,
130000000,Action Adventure Animation Family Fantasy,2011,554987477,90.0,Puss in Boots,6.4,451,Chris Miller,
110000000,Action Mystery Thriller,2010,293329073,100.0,Salt,6.2,2093,Phillip Noyce,
125000000,Drama Adventure,2014,362637473,139.0,Noah,5.6,2350,Darren Aronofsky,
130000000,Adventure Animation Mystery,2011,371940071,107.0,The Adventures of Tintin,6.7,2061,Steven Spielberg,
130000000,Adventure Fantasy Family,2004,789804554,141.0,Harry Potter and the Prisoner of Azkaban,7.7,5877,Alfonso Cuar\u00f3n,
130000000,Drama,2008,49554002,165.0,Australia,6.3,694,Baz Luhrmann,
130000000,Science Fiction Action Adventure,2013,243843127,100.0,After Earth,5.0,2532,M. Night Shyamalan,
127500000,Animation Family,2000,354248063,82.0,Dinosaur,6.2,542,Ralph Zondag,
127000000,Adventure Comedy Fantasy Family,2014,349424282,97.0,Night at the Museum: Secret of the Tomb,6.1,1851,Shawn Levy,
130000000,Animation Action Comedy Family Science Fiction,2010,321887208,95.0,Megamind,6.7,1918,Tom McGrath,
125000000,Adventure Fantasy Family,2001,976475550,152.0,Harry Potter and the Philosopher's Stone,7.5,7006,Chris Columbus,
130000000,Fantasy Action Comedy Crime,2013,61648500,96.0,R.I.P.D.,5.4,1260,Robert Schwentke,
140000000,Adventure Fantasy Action,2003,655011224,143.0,Pirates of the Caribbean: The Curse of the Black Pearl,7.5,6985,Gore Verbinski,
125000000,Science Fiction Adventure Thriller,2014,752100229,123.0,The Hunger Games: Mockingjay - Part 1,6.6,5584,Francis Lawrence,
125000000,Thriller Mystery,2006,767820459,149.0,The Da Vinci Code,6.5,2704,Ron Howard,
103000000,Animation Adventure Comedy Family,2014,500188435,102.0,Rio 2,6.3,978,Carlos Saldanha,
110000000,Adventure Action Science Fiction Thriller,2003,407711549,133.0,X2,6.8,3506,Bryan Singer,
125000000,Action Thriller Crime,2011,626137675,130.0,Fast Five,7.1,2438,Justin Lin,
125000000,Adventure Action Crime Mystery,2011,334615000,129.0,Sherlock Holmes: A Game of Shadows,7.0,3886,Guy Ritchie,
125000000,Adventure Fantasy Action,2010,232713139,106.0,Clash of the Titans,5.6,2233,Louis Leterrier,
65000000,Action Adventure Science Fiction,1990,261317921,113.0,Total Recall,7.1,1710,Paul Verhoeven,
160000000,Adventure Fantasy Action,1999,61698899,102.0,The 13th Warrior,6.4,510,John McTiernan,
130000000,Action Thriller,2012,276572938,120.0,The Bourne Legacy,6.0,2651,Tony Gilroy,
125000000,Action Crime Fantasy,1997,238207122,125.0,Batman & Robin,4.2,1418,Joel Schumacher,
123000000,Family Comedy Fantasy,2000,345141403,104.0,How the Grinch Stole Christmas,6.2,1386,Ron Howard,
125000000,Action Adventure Science Fiction Thriller,2004,544272402,124.0,The Day After Tomorrow,6.2,2392,Roland Emmerich,
125000000,Adventure Action Thriller,2000,546388105,123.0,Mission: Impossible II,5.9,1928,John Woo,
120000000,Drama,2000,325756637,130.0,The Perfect Storm,6.2,597,Wolfgang Petersen,
130000000,Adventure Fantasy Action Thriller,2007,289047763,92.0,Fantastic 4: Rise of the Silver Surfer,5.4,2589,Tim Story,
120000000,Adventure Drama Action,2012,609016565,127.0,Life of Pi,7.2,5797,Ang Lee,
110000000,Thriller Action Fantasy Horror,2007,228738393,114.0,Ghost Rider,5.2,1712,Mark Steven Johnson,
120000000,Action Thriller,2016,415484914,123.0,Jason Bourne,5.9,2341,Paul Greengrass,
120000000,Action Adventure Comedy,2003,259175788,106.0,Charlie's Angels: Full Throttle,5.2,914,McG,
130000000,Science Fiction Adventure Mystery,2012,403170142,124.0,Prometheus,6.3,5080,Ridley Scott,
120000000,Family Adventure Animation Comedy,2002,169956806,78.0,Stuart Little 2,5.4,613,Rob Minkoff,
115000000,Science Fiction Action Drama Thriller,2013,286140700,109.0,Elysium,6.4,3439,Neill Blomkamp,
105000000,Action Science Fiction,2004,115772733,119.0,The Chronicles of Riddick,6.3,1570,David Twohy,
120000000,Action Science Fiction,2014,242688965,102.0,RoboCop,5.7,2342,Jos\u00e9 Padilha,
120000000,Action Family Science Fiction,2008,93945766,135.0,Speed Racer,5.7,354,Lilly Wachowski,
120000000,Comedy Drama Romance,2010,48668907,121.0,How Do You Know,4.9,223,James L. Brooks,
117000000,Action Comedy,2010,261930431,109.0,Knight and Day,5.9,1547,James Mangold,
120000000,Action Science Fiction Adventure Mystery,2013,286168572,124.0,Oblivion,6.4,4800,Joseph Kosinski,
113000000,Science Fiction Adventure Action,2005,850000000,140.0,Star Wars: Episode III - Revenge of the Sith,7.1,4116,George Lucas,
120000000,Adventure Action Science Fiction,2002,649398328,142.0,Star Wars: Episode II - Attack of the Clones,6.4,3992,George Lucas,
115000000,Animation Comedy Family,2001,562816256,92.0,"Monsters, Inc.",7.5,5996,Pete Docter,
120000000,Action Science Fiction Adventure Fantasy,2013,415440673,126.0,The Wolverine,6.3,4053,James Mangold,
115000000,Adventure Action Science Fiction,1999,924317558,136.0,Star Wars: Episode I - The Phantom Menace,6.3,4432,George Lucas,
135000000,Adventure Animation Comedy Family Fantasy,2013,585178928,98.0,The Croods,6.8,2399,Chris Sanders,
97250400,Fantasy Adventure Comedy Family,2008,132900000,116.0,Asterix at the Olympic Games,5.0,471,Thomas Langmann,
115000000,Drama Action History War,2002,77628265,134.0,Windtalkers,5.8,341,John Woo,
115000000,Action Adventure Drama,2016,164602163,114.0,The Huntsman: Winter's War,6.0,1523,Cedric Nicolas-Troyan,
125000000,Science Fiction Action Adventure Fantasy Comedy,2014,477200000,101.0,Teenage Mutant Ninja Turtles,5.8,2636,Jonathan Liebesman,
105000000,Science Fiction Thriller Drama,2013,716392705,91.0,Gravity,7.3,5751,Alfonso Cuar\u00f3n,
116000000,Action Adventure Thriller,1997,178127760,108.0,Dante's Peak,5.7,428,Roger Donaldson,
135000000,Fantasy Action Adventure Comedy,2016,245623848,112.0,Teenage Mutant Ninja Turtles: Out of the Shadows,5.8,963,Dave Green,
120000000,Action Adventure Science Fiction,2015,167977596,100.0,Fantastic Four,4.4,2278,Josh Trank,
110000000,Action Adventure Comedy Family Fantasy,2006,574480841,108.0,Night at the Museum,6.3,2862,Shawn Levy,
110000000,Action Drama Thriller,2015,470490832,114.0,San Andreas,6.0,2968,Brad Peyton,
110000000,Adventure Action Thriller,1997,333011068,119.0,Tomorrow Never Dies,6.0,925,Roger Spottiswoode,
110000000,Drama History War Action,2000,215294342,165.0,The Patriot,6.8,1099,Roland Emmerich,
110000000,Thriller Crime,2004,362744280,125.0,Ocean's Twelve,6.4,2124,Steven Soderbergh,
110000000,Action Comedy Drama Thriller,2005,478207520,120.0,Mr. & Mrs. Smith,6.5,2965,Doug Liman,
110000000,Adventure Science Fiction Thriller,2015,295238201,119.0,Insurgent,6.2,3829,Robert Schwentke,
116000000,Drama,2004,102000000,170.0,The Aviator,7.0,1489,Martin Scorsese,
112000000,Comedy,2010,237382724,85.0,Gulliver's Travels,4.9,621,Rob Letterman,
120000000,Action Crime Comedy,2011,227817248,119.0,The Green Hornet,5.5,1251,Michel Gondry,
110000000,Action War,2014,337580051,102.0,300: Rise of an Empire,6.1,2397,Noam Murro,
110000000,Animation Family Adventure Comedy Fantasy,2011,563749323,103.0,The Smurfs,5.5,1179,Raja Gosnell,
110000000,Animation Family,2004,103951461,76.0,Home on the Range,5.7,389,Will Finn,
110000000,Adventure Science Fiction,2016,179246868,121.0,Allegiant,5.9,1998,Robert Schwentke,
